Timestamp,Torque,Temperature,RPM
1695654411,2.09,17.10,0.00
1695654412,2.18,17.18,0.00
1695654413,2.05,17.29,0.00
1695654414,2.12,17.34,0.00
1695654415,2.07,17.32,0.00
1695654415,2.04,17.34,0.00
1695654416,1.35,17.16,0.00
1695654417,0.98,16.87,0.00
1695654418,0.91,16.36,0.00
1695654419,0.84,14.52,0.00
1695654420,0.79,14.39,0.00
1695654421,0.76,15.01,0.00
1695654421,0.74,15.22,0.00
1695654422,0.72,15.45,0.00
1695654423,0.71,15.51,0.00
1695654424,0.70,15.77,0.00
1695654425,0.69,15.70,0.00
1695654426,0.67,15.82,0.00
1695654427,0.66,15.64,0.00
1695654427,0.65,15.59,0.00
1695654428,0.64,15.63,0.00
1695654429,0.64,15.74,0.00
1695654430,0.63,15.42,0.00
1695654431,0.62,15.69,0.00
1695654432,0.62,15.51,0.00
1695654433,0.61,15.92,0.00
1695654433,0.60,15.63,0.00
1695654434,0.60,15.64,0.00
1695654435,0.60,15.24,0.00
1695654436,0.59,15.30,0.00
1695654437,0.59,15.25,0.00
1695654438,0.58,15.42,0.00
1695654438,0.58,14.55,0.00
1695654439,0.57,14.88,0.00
1695654440,0.57,14.66,0.00
1695654441,0.56,14.52,0.00
1695654442,0.56,14.63,0.00
1695654443,0.55,14.73,0.00
1695654444,0.55,14.63,0.00
1695654444,0.54,14.64,0.00
1695654445,0.54,14.59,0.00
1695654446,0.54,14.76,0.00
1695654447,1.96,15.36,0.00
1695654448,7.06,19.55,0.00
1695654449,6.86,24.07,0.00
1695654450,7.00,27.89,0.00
1695654450,7.82,31.11,0.00
1695654451,8.05,33.32,0.00
1695654452,7.86,34.29,0.00
1695654453,5.85,33.05,0.00
1695654454,3.75,32.85,0.00
1695654455,2.59,30.43,0.00
1695654455,2.36,32.03,0.00
1695654456,2.22,30.91,0.00
1695654457,2.13,29.64,0.00
1695654458,2.07,30.14,0.00
1695654459,2.03,31.13,0.00
1695654460,1.99,31.24,0.00
1695654461,1.95,30.98,0.00
1695654461,1.93,30.79,0.00
1695654462,1.91,30.10,0.00
1695654463,1.88,29.55,0.00
1695654464,1.85,28.99,0.00
1695654465,1.82,28.19,0.00
1695654466,1.80,28.65,0.00
1695654466,1.78,28.31,0.00
1695654467,1.76,27.89,0.00
1695654468,1.75,27.70,0.00
1695654469,1.73,27.34,0.00
1695654470,1.70,26.82,0.00
1695654471,1.69,26.54,0.00
1695654472,1.68,25.86,0.00
1695654472,1.66,25.71,0.00
1695654473,1.65,25.52,0.00
1695654474,1.64,25.19,0.00
1695654475,1.62,25.07,0.00
1695654476,1.62,24.87,0.00
1695654477,1.61,24.80,0.00
1695654478,1.60,24.28,0.00
1695654478,1.59,24.45,0.00
1695654479,1.59,24.09,0.00
1695654480,1.58,23.96,0.00
1695654481,1.57,23.66,0.00
1695654482,1.56,23.64,0.00
1695654483,1.56,23.22,0.00
1695654483,1.55,23.13,0.00
1695654484,1.55,22.86,0.00
1695654485,1.54,22.67,0.00
1695654486,1.54,22.51,0.00
1695654487,1.53,22.43,0.00
1695654488,1.53,22.12,0.00
1695654489,1.53,21.97,0.00
1695654489,1.52,21.86,0.00
1695654490,1.52,21.72,0.00
1695654491,1.52,21.54,0.00
1695654492,1.51,21.38,0.00
1695654493,1.51,21.30,0.00
1695654494,1.51,21.14,0.00
1695654495,1.50,21.01,0.00
1695654495,1.50,20.71,0.00
1695654496,1.49,20.60,0.00
1695654497,1.49,20.47,0.00
1695654498,1.49,20.46,0.00
1695654499,1.49,20.30,0.00
1695654500,1.48,20.22,0.00
1695654500,1.48,20.21,0.00
1695654501,1.48,20.05,0.00
1695654502,1.48,20.09,0.00
1695654503,1.47,20.02,0.00
1695654504,1.47,19.80,0.00
1695654505,1.47,19.82,0.00
1695654506,1.47,19.72,0.00
1695654506,1.46,19.47,0.00
1695654507,1.46,19.47,0.00
1695654508,1.45,19.33,0.00
1695654509,1.45,19.34,0.00
1695654510,1.45,19.21,0.00
1695654511,1.44,19.05,0.00
1695654512,1.44,19.06,0.00
1695654512,1.44,18.93,0.00
1695654513,1.44,18.89,0.00
1695654514,1.43,18.97,0.00
1695654515,1.43,18.87,0.00
1695654516,1.43,18.87,0.00
1695654517,1.42,18.94,0.00
1695654517,1.42,18.77,0.00
1695654518,1.42,18.74,0.00
1695654519,1.41,18.68,0.00
1695654520,1.42,18.71,0.00
1695654521,1.41,18.68,0.00
1695654522,1.40,18.51,0.00
1695654523,1.39,18.40,0.00
1695654523,1.39,16.51,0.00
1695654524,1.38,16.29,0.00
1695654525,1.38,17.05,0.00
1695654526,1.38,17.08,0.00
1695654527,1.39,16.96,0.00
1695654528,1.38,16.90,0.00
1695654528,1.38,17.03,0.00
1695654529,1.38,17.01,0.00
1695654530,1.38,17.04,0.00
1695654531,1.38,16.77,0.00
1695654532,1.38,16.67,0.00
1695654533,1.38,16.57,0.00
1695654534,1.38,16.40,0.00
1695654534,1.37,16.24,0.00
1695654535,1.36,16.64,0.00
1695654536,1.37,16.19,0.00
1695654537,1.37,16.89,0.00
1695654538,1.36,18.02,0.00
1695654539,1.37,16.05,0.00
1695654540,1.37,15.62,0.00
1695654540,1.36,15.73,0.00
1695654541,1.36,15.79,0.00
1695654542,1.35,15.60,0.00
1695654543,1.35,15.70,0.00
1695654544,1.35,15.47,0.00
1695654545,1.35,15.48,0.00
1695654545,1.34,15.54,0.00
1695654546,1.34,15.57,0.00
1695654547,1.33,15.56,0.00
1695654548,1.34,15.23,0.00
1695654549,1.32,15.66,0.00
1695654550,1.32,15.64,0.00
1695654551,6.19,17.26,0.00
1695654551,12.43,22.83,0.00
1695654552,11.37,28.15,0.00
1695654553,12.38,32.57,0.00
1695654554,14.40,35.52,0.00
1695654555,9.27,36.30,0.00
1695654556,8.70,36.00,0.00
1695654557,4.91,34.60,0.00
1695654557,3.17,34.77,0.00
1695654558,2.95,32.76,0.00
1695654559,2.84,32.92,0.00
1695654560,2.74,33.42,0.00
1695654561,2.68,33.41,0.00
1695654562,2.58,33.26,0.00
1695654562,2.50,33.38,0.00
1695654563,2.45,32.66,0.00
1695654564,2.40,31.84,0.00
1695654565,2.36,31.62,0.00
1695654566,2.33,30.98,0.00
1695654567,2.31,30.26,0.00
1695654568,2.29,30.41,0.00
